Waterfront homes comparable to mine,,,,,,,,,,,,,
Date,Comp#,Sq ft,waterfront data,Appraisal sold data,$/sqft,total rooms,beds,bath,ZIllow link,Redfin Link,Estimate,Est $ /sq ft,Distance
"April 19, 2022",Comp1,1984,83' MB,"1,150,000",579.64,6,3,2,"https://www.zillow.com/homes/570-Adelma-Beach-Rd-Port-Townsend,-WA-98368_rb/112556345_zpid/",Comp 1,"$1,160,626",$585,2.71 miles E
"April 19, 2022",Comp2,2598,100' LB,"1,500,000",577.37,9,3,2.1,"https://www.zillow.com/homes/11-E-Seashore-Ln-Sequim,-WA-98382_rb/114622182_zpid/",Comp 2,"$1,352,098",$520,11.71 miles NW
"April 19, 2022",Comp3,1845,284' HB,"1,700,000",921.41,5,3,2,"https://www.zillow.com/homes/98-Paradise-View-Ln-Pt-Ludlow,-WA-98365_rb/2066624210_zpid/",Comp 3,"$1,359,587",$737,16.56 miles SE
"April 19, 2022",Comp4,3783,100' LB,"1,695,000",448.06,9,3,2.1,"https://www.zillow.com/homes/103-E-Seashore-Ln-Sequim,-WA-98382_rb/114622180_zpid/",Comp 4,"$1,855,009",$490,11.63 miles NW
"April 19, 2022",Comp5,2029,110' HB,"1,400,000",690,5,2,2,"https://www.zillow.com/homes/1192-57th-St-Port-Townsend,-WA-98368_rb/112546899_zpid/",Comp 5,"$1,643,359",$810,7.91 miles NE
"April 19, 2022",Comp6,3422,202' MB,"2,048,000",598.48,12,4,3.1,"https://www.zillow.com/homes/15-White-Rock-Ln-Port-Ludlow,-WA-98365_rb/112554087_zpid/",Comp 6,"$2,000,001",$584,15.38 miles SE
"April 19, 2022",Comp7,5352,100' HB,"1,750,000",326.98,11,6,6,https://www.zillow.com/homedetails/397-Monterra-Dr-Port-Angeles-WA-98362/114634178_zpid/,Comp 7,"$1,616,901",$302,16.67 miles W
"August 10, 2022",Comp1,1984,83' MB,"1,150,000",579.64,6,3,2,"https://www.zillow.com/homes/570-Adelma-Beach-Rd-Port-Townsend,-WA-98368_rb/112556345_zpid/",Comp 1,"$1,166,287",$588,2.71 miles E
"August 10, 2022",Comp2,2598,100' LB,"1,500,000",577.37,9,3,2.1,"https://www.zillow.com/homes/11-E-Seashore-Ln-Sequim,-WA-98382_rb/114622182_zpid/",Comp 2,"$1,463,952",$563,11.71 miles NW
"August 10, 2022",Comp3,1845,284' HB,"1,700,000",921.41,5,3,2,"https://www.zillow.com/homes/98-Paradise-View-Ln-Pt-Ludlow,-WA-98365_rb/2066624210_zpid/",Comp 3,"$1,700,000",$921,16.56 miles SE
"August 10, 2022",Comp4,3783,100' LB,"1,695,000",448.06,9,3,2.1,"https://www.zillow.com/homes/103-E-Seashore-Ln-Sequim,-WA-98382_rb/114622180_zpid/",Comp 4,"$1,978,141",$523,11.63 miles NW
"August 10, 2022",Comp5,2029,110' HB,"1,400,000",690,5,2,2,"https://www.zillow.com/homes/1192-57th-St-Port-Townsend,-WA-98368_rb/112546899_zpid/",Comp 5,"$1,692,202",$834,7.91 miles NE
"August 10, 2022",Comp6,3422,202' MB,"2,048,000",598.48,12,4,3.1,"https://www.zillow.com/homes/15-White-Rock-Ln-Port-Ludlow,-WA-98365_rb/112554087_zpid/",Comp 6,"$2,300,000",$672,15.38 miles SE
"August 10, 2022",Comp7,5352,100' HB,"1,750,000",326.98,11,6,6,https://www.zillow.com/homedetails/397-Monterra-Dr-Port-Angeles-WA-98362/114634178_zpid/,Comp 7,"$1,850,000",$346,16.67 miles W
"Sept 31, 2023",Comp1,1984,83' MB,"1,150,000",579.64,6,3,2,"https://www.zillow.com/homes/570-Adelma-Beach-Rd-Port-Townsend,-WA-98368_rb/112556345_zpid/",Comp 1,"$1,360,855",$686,2.71 miles E
"Sept 31, 2023",Comp2,2598,100' LB,"1,500,000",577.37,9,3,2.1,"https://www.zillow.com/homes/11-E-Seashore-Ln-Sequim,-WA-98382_rb/114622182_zpid/",Comp 2,"$1,537,831",$592,11.71 miles NW
"Sept 31, 2023",Comp3,1845,284' HB,"1,700,000",921.41,5,3,2,"https://www.zillow.com/homes/98-Paradise-View-Ln-Pt-Ludlow,-WA-98365_rb/2066624210_zpid/",Comp 3,"$1,530,270",$829,16.56 miles SE
"Sept 31, 2023",Comp4,3783,100' LB,"1,695,000",448.06,9,3,2.1,"https://www.zillow.com/homes/103-E-Seashore-Ln-Sequim,-WA-98382_rb/114622180_zpid/",Comp 4,"$1,929,126",$510,11.63 miles NW
"Sept 31, 2023",Comp5,2029,110' HB,"1,400,000",690,5,2,2,"https://www.zillow.com/homes/1192-57th-St-Port-Townsend,-WA-98368_rb/112546899_zpid/",Comp 5,"$1,499,000",$739,7.91 miles NE
"Sept 31, 2023",Comp6,3422,202' MB,"2,048,000",598.48,12,4,3.1,"https://www.zillow.com/homes/15-White-Rock-Ln-Port-Ludlow,-WA-98365_rb/112554087_zpid/",Comp 6,"$1,872,341",$547,15.38 miles SE
"Sept 31, 2023",Comp7,5352,100' HB,"1,750,000",326.98,11,6,6,https://www.zillow.com/homedetails/397-Monterra-Dr-Port-Angeles-WA-98362/114634178_zpid/,Comp 7,"$1,602,629",$299,16.67 miles W
"Sept 31, 2023",Comp1,1984,83' MB,"1,150,000",579.64,6,3,2,"https://www.zillow.com/homes/570-Adelma-Beach-Rd-Port-Townsend,-WA-98368_rb/112556345_zpid/",Comp 1,"$1,317,600",$664,2.71 miles E
"Sept 31, 2023",Comp2,2598,100' LB,"1,500,000",577.37,9,3,2.1,"https://www.zillow.com/homes/11-E-Seashore-Ln-Sequim,-WA-98382_rb/114622182_zpid/",Comp 2,"$1,616,700",$622,11.71 miles NW
"Sept 31, 2023",Comp3,1845,284' HB,"1,700,000",921.41,5,3,2,"https://www.zillow.com/homes/98-Paradise-View-Ln-Pt-Ludlow,-WA-98365_rb/2066624210_zpid/",Comp 3,"$1,680,400",$911,16.56 miles SE
"Sept 31, 2023",Comp4,3783,100' LB,"1,695,000",448.06,9,3,2.1,"https://www.zillow.com/homes/103-E-Seashore-Ln-Sequim,-WA-98382_rb/114622180_zpid/",Comp 4,"$1,981,400",$524,11.63 miles NW
"Sept 31, 2023",Comp5,2029,110' HB,"1,400,000",690,5,2,2,"https://www.zillow.com/homes/1192-57th-St-Port-Townsend,-WA-98368_rb/112546899_zpid/",Comp 5,"$1,448,000",$714,7.91 miles NE
"Sept 31, 2023",Comp6,3422,202' MB,"2,048,000",598.48,12,4,3.1,"https://www.zillow.com/homes/15-White-Rock-Ln-Port-Ludlow,-WA-98365_rb/112554087_zpid/",Comp 6,"$2,150,800",$629,15.38 miles SE
"Sept 31, 2023",Comp7,5352,100' HB,"1,750,000",326.98,11,6,6,https://www.zillow.com/homedetails/397-Monterra-Dr-Port-Angeles-WA-98362/114634178_zpid/,Comp 7,"$1,443,700",$270,16.67 miles W
"Sept 31, 2023",Us,3495,115' HB,"1,300,000",371.96,15,3,2.5,https://www.zillow.com/homedetails/2485-Old-Gardiner-Rd-Sequim-WA-98382/299410601_zpid/?view=public,,"$1,064,900",$305,0